T,OTU,Replicate,reason
42,1,R2,excluded_in_04
28,2,R4,excluded_in_04
44,2,R2,excluded_in_04
36,4,R3,excluded_in_04
42,4,R3,excluded_in_04
42,4,R4,excluded_in_04
44,4,R2,excluded_in_04
44,4,R3,excluded_in_04
44,5,R2,excluded_in_04
44,5,R3,excluded_in_04
44,5,R4,excluded_in_04
44,5,R5,excluded_in_04
34,6,R5,excluded_in_04
40,6,R1,excluded_in_04
42,6,R1,excluded_in_04
42,6,R3,excluded_in_04
44,6,R1,excluded_in_04
44,6,R5,excluded_in_04
36,7,R3,excluded_in_04
44,7,R1,excluded_in_04
44,7,R2,excluded_in_04
44,9,R5,excluded_in_04
42,12,R1,excluded_in_04
44,12,R1,excluded_in_04
44,12,R2,excluded_in_04
44,12,R3,excluded_in_04
44,12,R5,excluded_in_04
22,13,R3,excluded_in_04
42,13,R1,excluded_in_04
42,13,R2,excluded_in_04
42,13,R3,excluded_in_04
42,13,R4,excluded_in_04
42,13,R5,excluded_in_04
44,13,R1,excluded_in_04
44,13,R2,excluded_in_04
44,13,R3,excluded_in_04
44,13,R4,excluded_in_04
40,16,R1,excluded_in_04
40,16,R2,excluded_in_04
40,16,R3,excluded_in_04
40,16,R4,excluded_in_04
40,16,R5,excluded_in_04
42,16,R1,excluded_in_04
42,16,R2,excluded_in_04
42,16,R3,excluded_in_04
42,16,R5,excluded_in_04
44,16,R1,excluded_in_04
44,16,R2,excluded_in_04
44,16,R3,excluded_in_04
44,16,R4,excluded_in_04
44,16,R5,excluded_in_04
40,17,R1,excluded_in_04
42,17,R2,excluded_in_04
42,17,R3,excluded_in_04
42,17,R4,excluded_in_04
42,17,R5,excluded_in_04
44,17,R1,excluded_in_04
44,17,R2,excluded_in_04
44,17,R3,excluded_in_04
44,17,R4,excluded_in_04
28,18,R1,excluded_in_04
36,18,R5,excluded_in_04
40,18,R1,excluded_in_04
40,18,R2,excluded_in_04
40,18,R3,excluded_in_04
42,18,R3,excluded_in_04
42,18,R4,excluded_in_04
42,18,R5,excluded_in_04
44,18,R2,excluded_in_04
44,18,R3,excluded_in_04
44,18,R4,excluded_in_04
44,18,R5,excluded_in_04
