parameter,group_a,group_b,diff,lo,hi,P_a_greater
growth_E_eV,Clade1,Clade2,-0.22960503368129853,-0.4228347346581134,-0.035987081714998495,0.01075
growth_E_eV,Clade1,Clade3,-0.033838573899983404,-0.20327762717686804,0.14618135945270366,0.3541666666666667
growth_E_eV,Clade1,Clade4,-0.1051164207348298,-0.28602555675991886,0.08029024767599885,0.13
growth_E_eV,Clade1,para,0.08463128552793348,-0.11512355272905223,0.2768314240304266,0.8046666666666666
growth_E_eV,Clade2,Clade3,0.19568792973743965,0.011720288212732619,0.37728696479353907,0.9823333333333333
growth_E_eV,Clade2,Clade4,0.12396698863923328,-0.06623818330780187,0.31404687372012535,0.899
growth_E_eV,Clade2,para,0.3123321239554346,0.10938536079962444,0.5186870802581839,0.998
growth_E_eV,Clade3,Clade4,-0.07210858206003318,-0.24711775715385695,0.10487622553388196,0.20483333333333334
growth_E_eV,Clade3,para,0.11808314904719242,-0.06770287454849741,0.2975453340104141,0.8905833333333333
growth_E_eV,Clade4,para,0.1899770045882639,-0.005513289314825212,0.3804766279598617,0.972
growth_Th_K,Clade1,Clade2,0.7156873407295166,-1.4969801811109604,2.8451916725447837,0.7385
growth_Th_K,Clade1,Clade3,-0.1388998083416766,-2.49437292957482,2.171756782747796,0.4553333333333333
growth_Th_K,Clade1,Clade4,-0.011082165476153705,-2.483538750847731,2.478943722397073,0.49583333333333335
growth_Th_K,Clade1,para,1.020678658319497,-1.1679836492121096,3.196511577113048,0.8185
growth_Th_K,Clade2,Clade3,-0.8517359445567934,-2.8739746374941872,1.194228704302918,0.2015
growth_Th_K,Clade2,Clade4,-0.7261784412970371,-2.981818051540554,1.5448273234718708,0.25716666666666665
growth_Th_K,Clade2,para,0.32021885127784344,-1.6331661070208825,2.2285618734042316,0.6274166666666666
growth_Th_K,Clade3,Clade4,0.12111926286263497,-2.2896667744384813,2.5367669506025323,0.5388333333333334
growth_Th_K,Clade3,para,1.1604010806082954,-0.9048441242063903,3.2296082747931663,0.8659166666666667
growth_Th_K,Clade4,para,1.0399820689784463,-1.1763854741810646,3.264803685745008,0.82275
growth_Topt_C,Clade1,Clade2,0.5546218487395009,-0.5546218487394938,1.6638655462184886,0.8198333333333333
growth_Topt_C,Clade1,Clade3,-0.36974789915966255,-1.4789915966386573,0.7394957983193322,0.21716666666666667
growth_Topt_C,Clade1,Clade4,-1.1092436974789877,-2.2184873949579824,0,0.022833333333333334
growth_Topt_C,Clade1,para,2.033613445378151,0.9243697478991564,3.142857142857146,0.9985
growth_Topt_C,Clade2,Clade3,-0.9243697478991635,-2.033613445378151,0.18487394957983128,0.027916666666666666
growth_Topt_C,Clade2,Clade4,-1.6638655462184886,-2.7731092436974762,-0.5546218487394938,0.00225
growth_Topt_C,Clade2,para,1.4789915966386573,0.36974789915966255,2.588235294117652,0.9903333333333333
growth_Topt_C,Clade3,Clade4,-0.7394957983193251,-1.8487394957983199,0.36974789915966255,0.06908333333333333
growth_Topt_C,Clade3,para,2.4033613445378137,1.294117647058819,3.5126050420168085,0.9996666666666667
growth_Topt_C,Clade4,para,3.142857142857139,2.033613445378151,4.252100840336134,1
resp_E_eV,Clade1,Clade2,0.09051687988762805,-0.017182711180028648,0.1976165449643768,0.9509166666666666
resp_E_eV,Clade1,Clade3,0.11324088643105315,0.014096854638857487,0.21435840742907136,0.9855
resp_E_eV,Clade1,Clade4,0.2046567036965996,0.0986643280661543,0.306178060051551,0.9993333333333333
resp_E_eV,Clade1,para,0.15920532671731344,0.04119469296620461,0.2797984391572908,0.9941666666666666
resp_E_eV,Clade2,Clade3,0.02336437351481843,-0.08276254084793358,0.13252092127260093,0.6746666666666666
resp_E_eV,Clade2,Clade4,0.11407978865104608,0.00879598579538266,0.2235923955255895,0.98175
resp_E_eV,Clade2,para,0.0697785833288945,-0.052517318457852444,0.1941702344561488,0.8714166666666666
resp_E_eV,Clade3,Clade4,0.09143962722733007,-0.012198908026809873,0.19237596256266223,0.9601666666666666
resp_E_eV,Clade3,para,0.0468369099224224,-0.07170171326228522,0.1658071170350503,0.7920833333333334
resp_E_eV,Clade4,para,-0.044844799551366665,-0.16410906048405766,0.07363857349498823,0.22308333333333333
